"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","20.4645","20.4374","20.6254","20.3905","","0.10%"
"05/08/2025","20.4441","20.6528","20.6946","20.3868","","-0.97%"
"05/07/2025","20.6444","20.7082","20.8273","20.5990","","-0.32%"
"05/06/2025","20.7100","20.6793","20.7384","20.5912","","0.14%"
"05/05/2025","20.6809","20.7991","20.8703","20.6484","","-0.51%"
"05/02/2025","20.7871","20.9601","21.0608","20.7554","","-0.83%"
"05/01/2025","20.9601","21.0748","21.1923","20.9063","","-0.56%"
"04/30/2025","21.0775","21.1232","21.2237","21.0322","","-0.14%"
"04/29/2025","21.1067","21.1540","21.2156","21.0657","","-0.22%"
"04/28/2025","21.1540","21.2445","21.2956","21.0663","","-0.40%"
"04/25/2025","21.2379","21.4151","21.4828","21.1794","","-0.83%"
"04/24/2025","21.4151","21.1290","21.4521","21.0758","","1.36%"
"04/23/2025","21.1279","21.2630","21.2850","21.0261","","-0.63%"
"04/22/2025","21.2618","21.5797","21.6400","21.2294","","-1.39%"
"04/21/2025","21.5612","21.4490","21.6510","21.4229","","0.63%"
"04/18/2025","21.4266","21.3787","21.5111","21.3318","","0.40%"
"04/17/2025","21.3421","21.4806","21.5357","21.3034","","-0.42%"
"04/16/2025","21.4319","21.4796","21.6904","21.3514","","0.05%"
"04/15/2025","21.4222","21.4412","21.5641","21.2695","","0.01%"
"04/14/2025","21.4211","21.5990","21.7476","21.3364","","-1.38%"
"04/11/2025","21.7198","21.7490","22.1708","21.5618","","0.15%"
"04/10/2025","21.6883","21.1333","21.9754","21.1069","","2.72%"
"04/09/2025","21.1131","21.6666","22.0104","21.0034","","-2.42%"
"04/08/2025","21.6360","21.4376","21.7098","21.1365","","1.08%"
"04/07/2025","21.4053","20.9331","21.5141","20.8287","","2.37%"
"04/04/2025","20.9104","20.7119","21.1574","20.6709","","1.14%"
"04/03/2025","20.6738","20.5048","21.0755","20.3877","","0.95%"
"04/02/2025","20.4798","19.9485","20.6104","19.9056","","2.83%"
"04/01/2025","19.9164","19.8088","19.9866","19.7368","","0.60%"
"03/31/2025","19.7986","19.9353","19.9823","19.7265","","-0.51%"
"03/28/2025","19.9000","19.6944","19.9936","19.5203","","1.12%"
"03/27/2025","19.6793","19.6339","19.7882","19.5588","","0.33%"
"03/26/2025","19.6155","19.7097","19.7472","19.5951","","-0.37%"
"03/25/2025","19.6887","19.7154","19.7556","19.6170","","-0.04%"
"03/24/2025","19.6956","19.6588","19.7606","19.5643","","-0.02%"
"03/21/2025","19.6994","19.7058","19.7727","19.6675","","0.09%"
"03/20/2025","19.6811","19.7540","19.8161","19.6553","","-0.21%"
"03/19/2025","19.7231","19.8570","19.9384","19.7099","","-0.60%"
"03/18/2025","19.8414","19.7633","19.9007","19.6844","","0.52%"
"03/17/2025","19.7389","19.7818","19.8647","19.7129","","-0.18%"
"03/14/2025","19.7736","19.8893","19.9192","19.7338","","-0.49%"
"03/13/2025","19.8715","19.9770","20.0348","19.8447","","-0.29%"
"03/12/2025","19.9294","19.8863","20.1273","19.8329","","0.39%"
"03/11/2025","19.8519","19.8986","19.9588","19.8224","","-0.01%"
"03/10/2025","19.8538","19.7572","19.9123","19.7370","","0.72%"
"03/07/2025","19.7117","19.5496","19.9149","19.5279","","0.90%"
"03/06/2025","19.5366","19.7662","19.8665","19.5260","","-1.07%"
"03/05/2025","19.7479","19.6378","19.8286","19.5923","","0.66%"
"03/04/2025","19.6185","19.5148","19.6861","19.4675","","0.72%"
"03/03/2025","19.4774","19.3926","19.5750","19.3460","","0.54%"
"02/28/2025","19.3734","19.1835","19.4319","19.1495","","1.00%"
"02/27/2025","19.1813","19.2845","19.3813","19.1629","","-0.49%"
"02/26/2025","19.2765","19.3584","19.4124","19.2437","","-0.28%"
"02/25/2025","19.3311","19.2144","19.4022","19.1873","","0.63%"
"02/24/2025","19.2103","19.2158","19.3383","19.1587","","0.23%"
"02/21/2025","19.1663","19.2615","19.3073","19.1258","","-0.52%"
"02/20/2025","19.2663","19.3090","19.3595","19.2016","","-0.11%"
"02/19/2025","19.2883","19.2269","19.3959","19.1468","","0.35%"
"02/18/2025","19.2204","19.3141","19.3569","19.1972","","-0.43%"
