Date,CPI_YOY_Change
2015-01-31,0.044
2015-02-28,0.039
2015-03-31,0.040
2015-04-30,0.045
2015-05-31,0.046
2015-06-30,0.047
2015-07-31,0.050
2015-08-31,0.046
2015-09-30,0.046
2015-10-31,0.047
2015-11-30,0.048
2015-12-31,0.052
2016-01-31,0.062
2016-02-29,0.070
2016-03-31,0.063
2016-04-30,0.062
2016-05-31,0.061
2016-06-30,0.063
2016-07-31,0.060
2016-08-31,0.059
2016-09-30,0.061
2016-10-31,0.064
2016-11-30,0.066
2016-12-31,0.068
2017-01-31,0.066
2017-02-28,0.063
2017-03-31,0.061
2017-04-30,0.053
2017-05-31,0.054
2017-06-30,0.051
2017-07-31,0.046
2017-08-31,0.048
2017-09-30,0.051
2017-10-31,0.048
2017-11-30,0.046
2017-12-31,0.047
2018-01-31,0.044
2018-02-28,0.040
2018-03-31,0.038
2018-04-30,0.045
2018-05-31,0.044
2018-06-30,0.046
2018-07-31,0.051
2018-08-31,0.049
2018-09-30,0.049
2018-10-31,0.051
2018-11-30,0.052
2018-12-31,0.045
2019-01-31,0.040
2019-02-28,0.041
2019-03-31,0.045
2019-04-30,0.044
2019-05-31,0.045
2019-06-30,0.045
2019-07-31,0.040
2019-08-31,0.043
2019-09-30,0.041
2019-10-31,0.037
2019-11-30,0.036
2019-12-31,0.040
2020-01-31,0.045
2020-02-29,0.046
2020-03-31,0.041
2020-04-30,0.030
2020-05-31,0.021
2020-06-30,0.022
2020-07-31,0.032
2020-08-31,0.031
2020-09-30,0.030
2020-10-31,0.033
2020-11-30,0.032
2020-12-31,0.031
2021-01-31,0.032
2021-02-28,0.029
2021-03-31,0.032
2021-04-30,0.044
2021-05-31,0.052
2021-06-30,0.049
2021-07-31,0.046
2021-08-31,0.049
2021-09-30,0.050
2021-10-31,0.050
2021-11-30,0.055
2021-12-31,0.059
2022-01-31,0.057
2022-02-28,0.057
2022-03-31,0.059
2022-04-30,0.059
2022-05-31,0.065
2022-06-30,0.074
2022-07-31,0.078
2022-08-31,0.076
2022-09-30,0.075
2022-10-31,0.076
2022-11-30,0.074
2022-12-31,0.072
2023-01-31,0.069
2023-02-28,0.070
2023-03-31,0.071
2023-04-30,0.068
2023-05-31,0.063
2023-06-30,0.054
2023-07-31,0.047
2023-08-31,0.048
2023-09-30,0.054
2023-10-31,0.059
2023-11-30,0.055
2023-12-31,0.051
2024-01-31,0.053
2024-02-29,0.056
2024-03-31,0.053
2024-04-30,0.052
2024-05-31,0.052
2024-06-30,0.051
2024-07-31,0.046
2024-08-31,0.044
2024-09-30,0.038
2024-10-31,0.028
2024-11-30,0.029
2024-12-31,0.030
2025-01-31,0.032
2025-02-28,0.032
2025-03-31,0.027
