Data_Date,Release_Full_Date,Time,Actual_Percent,Forecast_Percent,Previous_Percent
2025-04-01,2025-05-29,05:30,0.6,,
2025-03-01,2025-04-24,05:30,0.6,0.4,
2025-02-01,2025-03-27,05:30,0.4,0.5,
2025-01-01,2025-02-27,05:30,0.5,0.2,
2024-12-01,2025-01-30,05:30,0.2,0.0,
2024-11-01,2024-12-12,05:30,0.0,-0.7,
2024-10-01,2024-11-28,05:30,-0.7,-0.3,
2024-09-01,2024-10-31,05:30,-0.3,-0.3,
2024-08-01,2024-09-26,05:30,-0.3,-0.2,
2024-07-01,2024-08-29,05:30,-0.2,-0.3,
2024-06-01,2024-07-25,05:30,-0.3,0.1,
2024-05-01,2024-06-27,05:30,0.1,0.5,
2024-04-01,2024-05-30,05:30,0.5,1.1,
2024-03-01,2024-04-25,05:30,1.1,0.5,
2024-02-01,2024-03-28,05:30,0.5,0.9,0.1
2024-01-01,2024-02-29,05:30,0.1,0.1,-0.6
2023-12-01,2024-01-25,05:30,-0.6,-0.3,-0.6
2023-11-01,2023-12-14,05:30,-0.6,0.1,1.0
2023-10-01,2023-11-30,05:30,1.0,1.1,1.5
2023-09-01,2023-10-26,05:30,1.5,1.1,1.0
2023-08-01,2023-09-28,05:30,1.0,0.5,0.2
2023-07-01,2023-08-31,05:30,0.2,0.4,-0.3
2023-06-01,2023-07-27,05:30,-0.3,0.5,0.6
2023-05-01,2023-06-29,05:30,0.6,0.5,0.0
2023-04-01,2023-05-25,05:30,0.0,0.5,1.0
2023-03-01,2023-04-26,05:30,1.0,1.4,0.6
2023-02-01,2023-03-30,05:30,0.6,0.7,-0.6
2023-01-01,2023-02-23,05:30,-0.6,-0.4,
2022-12-01,2023-01-26,05:30,0.0,0.4,0.5
2022-11-01,2022-12-15,05:30,0.5,0.6,0.4
2022-10-01,2022-11-24,05:30,0.4,0.5,0.7
2022-09-01,2022-10-27,05:30,0.7,0.2,0.5
2022-08-01,2022-09-29,05:30,-0.5,0.4,2.2
2022-07-01,2022-08-25,05:30,2.2,2.0,2.1
2022-06-01,2022-07-28,05:30,2.1,1.7,1.8
2022-05-01,2022-06-30,05:30,1.8,1.3,1.8
2022-04-01,2022-05-26,05:30,1.8,1.1,2.5
2022-03-01,2022-04-28,05:30,2.5,1.5,1.1
2022-02-01,2022-03-31,05:30,1.1,0.9,0.2
2022-01-01,2022-02-24,05:30,0.2,1.3,
2021-12-01,2022-01-27,05:30,1.3,0.8,1.4
2021-11-01,2021-12-15,05:30,1.4,0.7,0.7
2021-10-01,2021-11-25,05:30,0.7,0.7,0.9
2021-09-01,2021-10-28,05:30,0.9,0.5,0.8
2021-08-01,2021-09-30,05:30,0.8,0.7,0.7
2021-07-01,2021-08-26,05:30,0.7,0.6,0.8
2021-06-01,2021-07-29,05:30,0.8,0.4,0.4
2021-05-01,2021-06-24,05:30,0.4,0.3,0.7
2021-04-01,2021-05-27,05:30,0.7,0.8,1.3
2021-03-01,2021-04-29,05:30,1.3,0.8,0.7
2021-02-01,2021-03-25,05:30,0.7,0.5,0.8
2021-01-01,2021-02-25,05:30,0.8,0.4,0.2
2020-12-01,2021-01-28,05:30,0.2,0.3,0.4
2020-11-01,2020-12-15,05:30,0.0,0.3,0.4
2020-10-01,2020-11-26,05:30,0.4,0.3,0.3
2020-09-01,2020-10-29,05:30,0.3,0.3,0.7
2020-08-01,2020-09-28,05:30,0.7,0.5,1.2
2020-07-01,2020-08-27,05:30,1.2,1.0,0.5
2020-06-01,2020-07-30,05:30,0.5,0.8,-0.3
2020-05-01,2020-07-16,05:30,-0.3,-0.8,-0.7
